participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.trust_choice,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
70,xmxsnfd6,63e5257dc5aceb22cee2ddf1,0,29,29,Thanks,MyPage,2024-03-20 15:21:34.944638,1,,,150.0,70,,0.0,4,1,1,slvfalvu,,,,,0
71,e7fqdzlq,65707e9db593e1e6c2e7b416,0,29,29,Thanks,MyPage,2024-03-20 15:21:36.812544,1,,,200.0,71,,0.0,4,1,1,slvfalvu,,,,,0
72,r1o4dldh,63bc819194ca25a555eb8fb5,0,29,29,Thanks,MyPage,2024-03-20 15:21:36.967875,1,,,50.0,72,,0.0,2,1,1,slvfalvu,,,,,0
73,4zq1qbvl,62959d1553cc14e98f4b8d78,0,29,29,Thanks,MyPage,2024-03-20 15:21:37.382995,1,,,200.0,73,,0.0,1,1,1,slvfalvu,,,,,0
74,kvcxt3w0,60b348a8332d26d4b88be6a1,0,29,29,Thanks,MyPage,2024-03-20 15:21:38.210219,1,,,50.0,74,,0.0,1,1,1,slvfalvu,,,,,0
75,0r9axio4,63c949f6ecb7d04be0d9c8a8,0,29,29,Thanks,MyPage,2024-03-20 15:21:40.808417,1,,,200.0,75,,0.0,3,1,1,slvfalvu,,,,,0
76,enxmkqhn,5fd7782dee03dc08d3f3f491,0,29,29,Thanks,MyPage,2024-03-20 15:21:45.020811,1,,,200.0,76,,0.0,2,1,1,slvfalvu,,,,,0
77,3a3b07zu,6266a599c7361af8b51a95e0,0,6,29,Intro_ST,TestPage,2024-03-20 15:21:50.561328,1,,,0.0,77,,0.0,,1,1,slvfalvu,,,,,0
78,kg3q2roq,5f5452df72345118f58d187b,0,29,29,Thanks,MyPage,2024-03-20 15:21:51.259096,1,,,150.0,78,,0.0,2,1,1,slvfalvu,,,,,0
79,mqqwjvl6,559c3e07fdf99b32b55f2d8d,0,2,29,Consent_general,GeneralIntroPage,2024-03-20 15:21:52.389796,1,,,0.0,79,,0.0,,1,1,slvfalvu,,,,,0
80,o4csjg41,5fde4bdb99e7cf5b87787664,0,6,29,Intro_ST,TestPage,2024-03-20 15:21:53.238755,1,,,0.0,80,,0.0,,1,1,slvfalvu,,,,,0
81,4yzsetej,5eb5f6d5e38e9f4e6c8dde3f,0,29,29,Thanks,MyPage,2024-03-20 15:21:55.265353,1,,,150.0,81,,0.0,5,1,1,slvfalvu,,,,,0
82,y1k6djbn,637d66726deca3adc9d0081c,0,4,29,Intro_ST,GameIntroPage,2024-03-20 15:22:00.207648,1,,,0.0,82,,0.0,,1,1,slvfalvu,,,,,0
83,ax9vmqda,5fb7dd473afbb1033b491811,0,29,29,Thanks,MyPage,2024-03-20 15:22:13.894853,1,,,150.0,83,,0.0,4,1,1,slvfalvu,,,,,0
