participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.pid,player.is_coop,player.action,player.partner_action,player.rt,player.is_dropout,player.condition,group.id_in_subsession,group.has_dropout,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
103,6e0ojfoy,62c84ca82b03c9aedbca4a2a,0,32,32,Thanks,MyPage,2024-03-20 16:44:20.312197,1,,,100.0,1,,100.0,,0,Keep,Keep,2.198,0,SQ,37,0,1,7reoo3kl,,,,,0
104,9odby404,65c2a014aee1fdd03fc0318f,0,32,32,Thanks,MyPage,2024-03-20 16:44:31.430588,1,,,200.0,2,,200.0,,0,Keep,Invest,12.159,0,SQ,38,0,1,7reoo3kl,,,,,0
105,j4gyrxy1,640ff49e2b13337a14256899,0,32,32,Thanks,MyPage,2024-03-20 16:44:33.276147,1,,,200.0,1,,200.0,,0,Keep,Invest,1.578,0,SQ,49,0,1,7reoo3kl,,,,,0
106,3l0mwr8z,61254fba095b9df425e816ea,0,32,32,Thanks,MyPage,2024-03-20 16:44:41.110162,1,,,150.0,1,,150.0,,1,Invest,Invest,4.95,0,SQ,40,0,1,7reoo3kl,,,,,0
107,r0grymqq,5b0d1b8e444cef0001ca66ac,0,32,32,Thanks,MyPage,2024-03-20 16:45:08.203751,1,,,150.0,2,,150.0,,1,Invest,Invest,5.216,0,SQ,32,0,1,7reoo3kl,,,,,0
108,tfbhfwun,647fbfa8a2c006cbd09a7166,0,32,32,Thanks,MyPage,2024-03-20 16:45:23.070443,1,,,100.0,2,,100.0,,0,Keep,Keep,6.202,0,SQ,42,0,1,7reoo3kl,,,,,0
109,cc3z1qkk,637d58b9dd14dc68ba68920a,0,32,32,Thanks,MyPage,2024-03-20 16:47:46.876275,1,,,50.0,2,,50.0,,1,Invest,Keep,1.431,0,SQ,49,0,1,7reoo3kl,,,,,0
110,9iy9gehm,628f827eeb876ed2617881e7,0,19,32,not_completed,MyPage,2024-03-20 16:50:57.433755,1,,,0.0,2,,0.0,,,Not yet,Not yet,,0,SQ,46,1,1,7reoo3kl,,,,,0
111,sp0lfnn3,607cbf385d3202721e3f719f,0,32,32,Thanks,MyPage,2024-03-20 16:53:47.495847,1,,,150.0,2,,150.0,,1,Invest,Invest,10.283,0,SQ,47,0,1,7reoo3kl,,,,,0
112,y7e4uszt,614e2b2bd900d5f91096ac12,0,32,32,Thanks,MyPage,2024-03-20 16:55:18.805712,1,,,150.0,1,,150.0,,1,Invest,Invest,3.749,0,SQ,45,0,1,7reoo3kl,,,,,0
113,ry6xehoe,,0,0,32,,,,0,,,0.0,113,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
114,eauo6zna,,0,0,32,,,,0,,,0.0,114,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
115,bbfro75l,,0,0,32,,,,0,,,0.0,115,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
116,74pzyrqt,,0,0,32,,,,0,,,0.0,116,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
117,hoshg252,,0,0,32,,,,0,,,0.0,117,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
118,0c50s6ut,,0,0,32,,,,0,,,0.0,118,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
119,6ag8p8zq,,0,0,32,,,,0,,,0.0,119,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
120,5j78znc3,,0,0,32,,,,0,,,0.0,120,,0.0,,,Not yet,Not yet,,0,SQ,1,0,1,7reoo3kl,,,,,0
