Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63d9570b56278558dc997590,60fe7748a8ef9311de5f2fcd,APPROVED,2023-01-31T17:59:42.379000Z,2023-01-31T18:08:34.758000Z,2023-02-01T04:41:21.653000,2023-01-31T18:08:36.200729Z,533,C1MW0K8M,2166,47,Female,White,United States,United States,United States,English,No,Full-Time
63d9570b725d931df4950aa8,63d7b8fd20b4612bc2949c29,APPROVED,2023-01-31T17:59:39.784000Z,2023-01-31T18:23:55.677000Z,2023-02-01T04:41:21.746000,2023-01-31T18:23:56.097747Z,1456,C1MW0K8M,20,30,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
63d9570ba7ffe798f145b467,607db957e9d570c7c2657b8d,APPROVED,2023-01-31T17:59:39.596000Z,2023-01-31T18:17:04.633000Z,2023-02-01T04:41:21.837000,2023-01-31T18:17:04.945991Z,1046,C1MW0K8M,3186,53,Female,White,United States,United States,United States,English,No,Full-Time
63d9570c696f856750fa2e01,638d3556e70c7bf15705e35b,APPROVED,2023-01-31T17:59:49.376000Z,2023-01-31T18:21:46.176000Z,2023-02-01T04:41:21.930000,2023-01-31T18:21:46.501051Z,1317,C1MW0K8M,380,DATA_EXPIRED,Male,Black,United States,United States,United States,English,No,DATA_EXPIRED
63d9570c7cc03e9535ba1419,583b397f54686200010f1d20,APPROVED,2023-01-31T17:59:40.637000Z,2023-01-31T18:36:28.188000Z,2023-02-01T04:41:22.019000,2023-01-31T18:36:28.588942Z,2208,C1MW0K8M,5503,51,Female,Black,United States,United States,United States,English,No,Full-Time
63d9570cd4ef14150e950a72,59a1ddac5dfd6b000152601f,APPROVED,2023-01-31T17:59:40.415000Z,2023-01-31T18:17:34.118000Z,2023-02-01T04:41:22.116000,2023-01-31T18:17:34.595555Z,1074,C1MW0K8M,1306,35,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d9570cecaea21789c87951,5e065c9fe78021031a4b1d59,APPROVED,2023-01-31T17:59:40.874000Z,2023-01-31T18:10:12.850000Z,2023-02-01T04:41:22.226000,2023-01-31T18:10:13.796697Z,632,C1MW0K8M,2538,27,Female,White,United States,United States,United States,English,No,Full-Time
63d9570cf3214f3016dc971c,63d04eb9d1bdb95639c4826d,APPROVED,2023-01-31T18:00:23.618000Z,2023-01-31T18:13:16.443000Z,2023-02-01T04:41:22.322000,2023-01-31T18:13:16.812226Z,773,C1MW0K8M,69,31,Male,White,United States,United States,United States,English,No,Full-Time
63d9570d0968ab69ba9beba8,566c9284d408ea000519c6d7,APPROVED,2023-01-31T17:59:41.805000Z,2023-01-31T18:16:08.614000Z,2023-02-01T04:41:22.413000,2023-01-31T18:16:08.938033Z,987,C1MW0K8M,3279,33,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63d9570d2ef0381e86dc971b,63ced19b7422296653437e30,APPROVED,2023-01-31T18:02:27.043000Z,2023-01-31T18:14:48.400000Z,2023-02-01T04:41:22.504000,2023-01-31T18:14:48.991736Z,742,C1MW0K8M,34,34,Male,White,United States,United States,United States,English,No,Full-Time
63d9570d40af170288fa2e75,6228eeaa5e24ca01a6773e7a,APPROVED,2023-01-31T18:00:01.797000Z,2023-01-31T19:26:17.647000Z,2023-02-01T04:41:22.604000,2023-01-31T19:26:18.080815Z,5176,C1MW0K8M,879,53,Male,White,United States,United States,United States,English,No,Full-Time
63d9570de0782a6df905f20a,5a454e442f91ec0001dcb66c,APPROVED,2023-01-31T17:59:45.306000Z,2023-01-31T18:14:06.884000Z,2023-02-01T04:41:22.698000,2023-01-31T18:14:07.270800Z,862,C1MW0K8M,4613,50,Female,White,United States,United States,United States,English,No,Full-Time
63d9570e6f4a8226149f178e,60a6c78720fb46c16a21ab1e,APPROVED,2023-01-31T17:59:42.472000Z,2023-01-31T18:50:25.068000Z,2023-02-01T04:42:03.663000,2023-01-31T18:50:44.493375Z,3043,CE8ENN8O,1516,27,Male,Mixed,United States,United States,United States,English,No,Part-Time
